state,value
Alabama,19510.64
Arizona,35282.001
Arkansas,11678.13
California,457687.6315
Colorado,32108.118
Connecticut,13384.357
Delaware,27451.069
DistrictofColumbia,2865.02
Florida,89473.708
Georgia,49095.84
Idaho,4382.486
Illinois,80166.101
Indiana,53555.36
Iowa,4579.76
Kansas,2914.31
Kentucky,36591.75
Louisiana,9217.03
Maine,1270.53
Maryland,23705.523
Massachusetts,28634.434
Michigan,76269.614
Minnesota,29863.15
Mississippi,10771.34
Missouri,22205.15
Montana,5589.352
Nebraska,7464.93
Nevada,16729.102
NewHampshire,7292.524
NewJersey,35764.312
NewMexico,4783.522
NewYork,310876.271
NorthCarolina,55603.164
NorthDakota,919.91
Ohio,78258.136
Oklahoma,19683.39
Oregon,17431.15
Pennsylvania,116511.914
RhodeIsland,22627.956
SouthCarolina,8481.71
SouthDakota,1315.56
Tennessee,30661.873
Texas,170188.0458
Utah,41220.056
Vermont,8929.37
Virginia,70636.72
Washington,138641.27
WestVirginia,1209.824
Wisconsin,32114.61
Wyoming,1603.136
Alaska,450
Hawaii,2300
